,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
1,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,50.0
2,2.0,1.0,11.0,E1,0.0,880.0,880.0,0.0,88.0
3,2.0,2.0,11.0,D3,968.0,1078.0,110.0,0.0,99.0
4,1.0,2.0,10.0,L2,1010.0,1210.0,200.0,0.0,70.0
5,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
6,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
7,2.0,3.0,11.0,M3,1177.0,1727.0,550.0,0.0,55.0
8,4.0,2.0,7.0,C1,154.0,224.0,70.0,0.0,7.0
9,3.0,2.0,12.0,C1,224.0,1064.0,840.0,56.0,48.0
10,3.0,3.0,12.0,E2,1112.0,2192.0,1080.0,0.0,36.0
11,5.0,2.0,9.0,C1,1064.0,1784.0,720.0,695.0,27.0
12,3.0,4.0,12.0,G2,2228.0,3068.0,840.0,0.0,36.0
13,4.0,3.0,7.0,B1,960.0,1030.0,70.0,729.0,7.0
14,2.0,4.0,11.0,P1,1782.0,2332.0,550.0,0.0,77.0
15,5.0,3.0,9.0,L1,1811.0,1991.0,180.0,0.0,27.0
16,5.0,4.0,9.0,P2,2018.0,2558.0,540.0,0.0,18.0
17,4.0,4.0,7.0,G1,1037.0,1667.0,630.0,0.0,21.0
18,5.0,5.0,9.0,S1,2576.0,2756.0,180.0,0.0,36.0
19,1.0,3.0,10.0,M2,1280.0,1380.0,100.0,0.0,20.0
20,4.0,5.0,7.0,E1,1688.0,2178.0,490.0,0.0,56.0
21,1.0,4.0,10.0,N1,1400.0,1900.0,500.0,0.0,80.0
22,3.0,5.0,12.0,R2,3104.0,3944.0,840.0,0.0,48.0
23,2.0,5.0,11.0,Q1,2409.0,2739.0,330.0,0.0,33.0
24,2.0,6.0,11.0,R1,2772.0,3322.0,550.0,0.0,33.0
25,4.0,6.0,7.0,D3,2234.0,2584.0,350.0,0.0,21.0
26,5.0,6.0,9.0,H1,2792.0,3242.0,450.0,0.0,9.0
27,4.0,7.0,7.0,P2,2605.0,3235.0,630.0,0.0,14.0
28,1.0,5.0,10.0,D3,2584.0,3384.0,800.0,604.0,30.0
29,4.0,8.0,7.0,O3,3249.0,3809.0,560.0,0.0,21.0
30,5.0,7.0,9.0,G2,3251.0,3881.0,630.0,0.0,27.0
31,3.0,6.0,12.0,L2,3992.0,4832.0,840.0,0.0,12.0
32,1.0,6.0,10.0,P2,3414.0,4214.0,800.0,0.0,60.0
33,5.0,8.0,9.0,E2,3908.0,4628.0,720.0,0.0,36.0
34,2.0,7.0,11.0,G1,3355.0,3905.0,550.0,0.0,11.0
35,2.0,8.0,11.0,F1,3916.0,4796.0,880.0,0.0,22.0
36,3.0,7.0,12.0,M1,4844.0,5084.0,240.0,0.0,36.0
37,1.0,7.0,10.0,G1,4274.0,5174.0,900.0,0.0,20.0
38,2.0,9.0,11.0,I2,4818.0,5258.0,440.0,0.0,88.0
39,3.0,8.0,12.0,S1,5120.0,5360.0,240.0,0.0,84.0
40,3.0,9.0,12.0,I2,5444.0,6164.0,720.0,0.0,24.0
41,1.0,8.0,10.0,E2,5194.0,5294.0,100.0,0.0,40.0
42,2.0,10.0,11.0,T1,5346.0,6116.0,770.0,0.0,11.0
43,4.0,9.0,7.0,N1,3830.0,4460.0,630.0,0.0,28.0
44,5.0,9.0,9.0,O1,4664.0,5474.0,810.0,0.0,9.0
45,1.0,9.0,10.0,H1,5334.0,6034.0,700.0,0.0,0.0
46,4.0,10.0,7.0,L1,4488.0,4768.0,280.0,0.0,0.0
47,5.0,10.0,9.0,N1,5483.0,5663.0,180.0,0.0,27.0
48,2.0,11.0,11.0,S1,6127.0,6567.0,440.0,0.0,44.0
49,5.0,11.0,9.0,K1,5690.0,5870.0,180.0,0.0,54.0
50,5.0,12.0,9.0,A1,5924.0,6374.0,450.0,0.0,99.0
51,5.0,13.0,9.0,T1,6473.0,6563.0,90.0,0.0,54.0
52,3.0,10.0,12.0,J1,6188.0,6908.0,720.0,0.0,72.0
53,2.0,12.0,11.0,K1,6611.0,6721.0,110.0,0.0,0.0
54,5.0,14.0,9.0,J1,6908.0,7088.0,180.0,291.0,0.0
55,3.0,11.0,12.0,T1,6980.0,7820.0,840.0,0.0,0.0
