,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,21.0
1,3.0,1.0,12.0,A3,0.0,960.0,960.0,0.0,24.0
2,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
3,7.0,2.0,7.0,D2,1301.0,1931.0,630.0,0.0,42.0
4,3.0,2.0,12.0,C1,1089.0,1929.0,840.0,105.0,60.0
5,8.0,1.0,8.0,C1,1929.0,2649.0,720.0,929.0,8.0
6,5.0,3.0,9.0,L2,1125.0,1755.0,630.0,0.0,9.0
7,6.0,1.0,6.0,D1,1000.0,1300.0,300.0,0.0,18.0
8,2.0,2.0,11.0,D3,1067.0,1177.0,110.0,0.0,110.0
9,8.0,2.0,8.0,B1,2657.0,3137.0,480.0,0.0,24.0
10,5.0,4.0,9.0,P1,1764.0,2304.0,540.0,0.0,9.0
11,5.0,5.0,9.0,S1,2313.0,2493.0,180.0,0.0,36.0
12,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,50.0
13,2.0,3.0,11.0,M2,1287.0,2057.0,770.0,0.0,77.0
14,4.0,2.0,7.0,C1,2649.0,2719.0,70.0,1991.0,7.0
15,8.0,3.0,8.0,D2,3191.0,3351.0,160.0,30.0,32.0
16,3.0,3.0,12.0,E1,1989.0,2709.0,720.0,0.0,48.0
17,7.0,3.0,7.0,E2,1973.0,2533.0,560.0,0.0,14.0
18,8.0,4.0,8.0,A3,3383.0,3943.0,560.0,0.0,16.0
19,1.0,3.0,10.0,M3,1750.0,2650.0,900.0,0.0,10.0
20,8.0,5.0,8.0,E2,3989.0,4309.0,320.0,30.0,40.0
21,4.0,3.0,7.0,B1,3137.0,3207.0,70.0,411.0,7.0
22,5.0,6.0,9.0,H3,2529.0,2709.0,180.0,0.0,27.0
23,6.0,2.0,6.0,G1,1318.0,1498.0,180.0,0.0,24.0
24,1.0,4.0,10.0,N1,2660.0,3160.0,500.0,0.0,80.0
25,7.0,4.0,7.0,G1,2547.0,2967.0,420.0,0.0,14.0
26,4.0,4.0,7.0,G1,3214.0,3844.0,630.0,0.0,21.0
27,6.0,3.0,6.0,Q3,1522.0,2062.0,540.0,0.0,30.0
28,2.0,4.0,11.0,P2,2134.0,2904.0,770.0,0.0,88.0
29,4.0,5.0,7.0,E1,3865.0,4355.0,490.0,0.0,49.0
30,6.0,4.0,6.0,T1,2092.0,2332.0,240.0,0.0,18.0
31,3.0,4.0,12.0,G2,2757.0,3597.0,840.0,0.0,36.0
32,5.0,7.0,9.0,G2,3597.0,4227.0,630.0,861.0,36.0
33,6.0,5.0,6.0,L2,2350.0,2710.0,360.0,0.0,24.0
34,2.0,5.0,11.0,Q1,3022.0,3352.0,330.0,30.0,55.0
35,8.0,6.0,8.0,H2,4349.0,4989.0,640.0,0.0,56.0
36,6.0,6.0,6.0,O1,2734.0,3094.0,360.0,0.0,24.0
37,4.0,6.0,7.0,D2,4404.0,4824.0,420.0,0.0,21.0
38,5.0,8.0,9.0,E1,4355.0,5165.0,810.0,92.0,45.0
39,7.0,5.0,7.0,I3,2981.0,3261.0,280.0,0.0,7.0
40,7.0,6.0,7.0,J1,3268.0,3478.0,210.0,0.0,21.0
41,4.0,7.0,7.0,P1,4845.0,4985.0,140.0,0.0,7.0
42,3.0,5.0,12.0,R2,3633.0,4473.0,840.0,0.0,48.0
43,4.0,8.0,7.0,O3,4992.0,5552.0,560.0,0.0,21.0
44,2.0,6.0,11.0,R3,3407.0,3957.0,550.0,0.0,55.0
45,7.0,7.0,7.0,L2,3499.0,3849.0,350.0,0.0,14.0
46,1.0,5.0,10.0,D3,3240.0,4040.0,800.0,0.0,30.0
47,1.0,6.0,10.0,P2,4070.0,4870.0,800.0,0.0,60.0
48,2.0,7.0,11.0,G1,4012.0,4562.0,550.0,0.0,11.0
49,6.0,7.0,6.0,I1,3118.0,3538.0,420.0,0.0,24.0
50,6.0,8.0,6.0,A3,3943.0,4303.0,360.0,381.0,24.0
51,5.0,9.0,9.0,O1,5210.0,6020.0,810.0,0.0,9.0
52,8.0,7.0,8.0,I1,5045.0,5285.0,240.0,0.0,24.0
53,2.0,8.0,11.0,F1,4573.0,5453.0,880.0,0.0,33.0
54,5.0,10.0,9.0,N1,6029.0,6209.0,180.0,0.0,27.0
55,7.0,8.0,7.0,K1,3863.0,4423.0,560.0,0.0,14.0
56,2.0,9.0,11.0,I1,5486.0,6366.0,880.0,0.0,99.0
57,8.0,8.0,8.0,F1,5453.0,6013.0,560.0,144.0,40.0
58,8.0,9.0,8.0,R2,6053.0,6693.0,640.0,0.0,8.0
59,3.0,6.0,12.0,L2,4521.0,5361.0,840.0,0.0,72.0
60,8.0,10.0,8.0,O2,6701.0,7101.0,400.0,0.0,16.0
61,5.0,11.0,9.0,K1,6266.0,6446.0,180.0,30.0,45.0
62,6.0,9.0,6.0,M3,4327.0,4567.0,240.0,0.0,18.0
63,1.0,7.0,10.0,G1,4930.0,5830.0,900.0,0.0,20.0
64,4.0,9.0,7.0,N1,6209.0,6839.0,630.0,636.0,28.0
65,5.0,12.0,9.0,A2,6491.0,7211.0,720.0,0.0,90.0
66,1.0,8.0,10.0,E2,5850.0,5950.0,100.0,0.0,60.0
67,3.0,7.0,12.0,M3,5433.0,5913.0,480.0,0.0,72.0
68,3.0,8.0,12.0,S1,5985.0,6225.0,240.0,0.0,96.0
69,8.0,11.0,8.0,N1,7117.0,7437.0,320.0,0.0,8.0
70,3.0,9.0,12.0,I1,6366.0,7326.0,960.0,45.0,36.0
71,6.0,10.0,6.0,F1,6013.0,6493.0,480.0,1428.0,0.0
72,7.0,9.0,7.0,O3,5552.0,5902.0,350.0,1115.0,14.0
73,8.0,12.0,8.0,M3,7445.0,7685.0,240.0,0.0,40.0
74,7.0,10.0,7.0,P2,5916.0,6126.0,210.0,0.0,28.0
75,1.0,9.0,10.0,H3,6010.0,6310.0,300.0,0.0,0.0
76,7.0,11.0,7.0,R2,6693.0,6763.0,70.0,539.0,14.0
77,5.0,13.0,9.0,T1,7301.0,7391.0,90.0,0.0,54.0
78,4.0,10.0,7.0,L1,6867.0,7147.0,280.0,0.0,0.0
79,7.0,12.0,7.0,S1,6777.0,7407.0,630.0,0.0,7.0
80,5.0,14.0,9.0,J1,7445.0,7625.0,180.0,0.0,0.0
81,8.0,13.0,8.0,P1,7725.0,8045.0,320.0,0.0,16.0
82,2.0,10.0,11.0,T1,7391.0,8161.0,770.0,926.0,11.0
83,7.0,13.0,7.0,T1,8161.0,8721.0,560.0,747.0,0.0
84,3.0,10.0,12.0,J1,7625.0,8345.0,720.0,263.0,72.0
85,2.0,11.0,11.0,S1,8202.0,8642.0,440.0,30.0,44.0
86,2.0,12.0,11.0,K1,8686.0,8796.0,110.0,0.0,0.0
87,8.0,14.0,8.0,T1,8721.0,8801.0,80.0,660.0,0.0
88,3.0,11.0,12.0,T1,8801.0,9641.0,840.0,384.0,0.0
