,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,3.0,1.0,12.0,A2,0.0,1080.0,1080.0,0.0,36.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,50.0
4,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,27.0
5,1.0,2.0,10.0,L2,1010.0,1210.0,200.0,0.0,60.0
6,1.0,3.0,10.0,M3,1270.0,2170.0,900.0,0.0,10.0
7,5.0,3.0,9.0,L1,1116.0,1296.0,180.0,0.0,18.0
8,3.0,2.0,12.0,C1,1116.0,1956.0,840.0,0.0,60.0
9,3.0,3.0,12.0,E1,2016.0,2736.0,720.0,0.0,48.0
10,3.0,4.0,12.0,G2,2784.0,3624.0,840.0,0.0,48.0
11,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,55.0
12,4.0,2.0,7.0,C1,1956.0,2026.0,70.0,1298.0,7.0
13,2.0,2.0,11.0,D1,1045.0,1705.0,660.0,0.0,44.0
14,4.0,3.0,7.0,B1,2033.0,2103.0,70.0,0.0,7.0
15,5.0,4.0,9.0,P1,1314.0,1854.0,540.0,0.0,9.0
16,2.0,3.0,11.0,M1,1749.0,1859.0,110.0,0.0,22.0
17,1.0,4.0,10.0,N1,2180.0,2680.0,500.0,0.0,70.0
18,2.0,4.0,11.0,P1,1881.0,2431.0,550.0,0.0,66.0
19,5.0,5.0,9.0,S1,1863.0,2043.0,180.0,0.0,27.0
20,2.0,5.0,11.0,Q2,2497.0,3157.0,660.0,0.0,22.0
21,4.0,4.0,7.0,G1,2110.0,2740.0,630.0,0.0,14.0
22,5.0,6.0,9.0,H2,2070.0,2520.0,450.0,0.0,27.0
23,1.0,5.0,10.0,D2,2750.0,3450.0,700.0,0.0,40.0
24,4.0,5.0,7.0,E2,2754.0,3244.0,490.0,0.0,49.0
25,4.0,6.0,7.0,D3,3293.0,3643.0,350.0,0.0,28.0
26,5.0,7.0,9.0,G1,2740.0,3370.0,630.0,193.0,27.0
27,5.0,8.0,9.0,E1,3397.0,4207.0,810.0,0.0,54.0
28,4.0,7.0,7.0,P1,3671.0,3811.0,140.0,0.0,14.0
29,1.0,6.0,10.0,P2,3490.0,4290.0,800.0,0.0,50.0
30,5.0,9.0,9.0,O2,4261.0,5071.0,810.0,0.0,18.0
31,2.0,6.0,11.0,R1,3179.0,3729.0,550.0,0.0,33.0
32,3.0,5.0,12.0,R3,3672.0,4272.0,600.0,0.0,36.0
33,1.0,7.0,10.0,G2,4340.0,4940.0,600.0,0.0,40.0
34,1.0,8.0,10.0,E1,4980.0,5680.0,700.0,0.0,70.0
35,4.0,8.0,7.0,O2,5071.0,5351.0,280.0,1246.0,14.0
36,5.0,10.0,9.0,N1,5089.0,5269.0,180.0,0.0,27.0
37,5.0,11.0,9.0,K1,5296.0,5476.0,180.0,0.0,54.0
38,3.0,6.0,12.0,L2,4308.0,5148.0,840.0,0.0,72.0
39,4.0,9.0,7.0,N1,5365.0,5995.0,630.0,0.0,28.0
40,2.0,7.0,11.0,G1,3762.0,4312.0,550.0,0.0,11.0
41,5.0,12.0,9.0,A1,5530.0,5980.0,450.0,0.0,99.0
42,2.0,8.0,11.0,F1,4323.0,5203.0,880.0,0.0,33.0
43,3.0,7.0,12.0,M3,5220.0,5700.0,480.0,0.0,72.0
44,3.0,8.0,12.0,S1,5772.0,6012.0,240.0,0.0,72.0
45,5.0,13.0,9.0,T1,6079.0,6169.0,90.0,0.0,54.0
46,3.0,9.0,12.0,I3,6084.0,6204.0,120.0,0.0,12.0
47,2.0,9.0,11.0,I1,5236.0,6116.0,880.0,0.0,99.0
48,2.0,10.0,11.0,T1,6215.0,6985.0,770.0,0.0,11.0
49,2.0,11.0,11.0,S1,6996.0,7436.0,440.0,0.0,44.0
50,3.0,10.0,12.0,J1,6216.0,6936.0,720.0,0.0,72.0
51,1.0,9.0,10.0,H3,5750.0,6050.0,300.0,0.0,0.0
52,4.0,10.0,7.0,L1,6023.0,6303.0,280.0,0.0,0.0
53,2.0,12.0,11.0,K1,7480.0,7590.0,110.0,0.0,0.0
54,5.0,14.0,9.0,J1,6936.0,7116.0,180.0,713.0,0.0
55,3.0,11.0,12.0,T1,7008.0,7848.0,840.0,0.0,0.0
