,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,6.0,1.0,3.0,D2,0.0,54.0,54.0,0.0,150.0
1,1.0,1.0,5.0,A1,0.0,250.0,250.0,0.0,250.0
2,4.0,1.0,6.0,A2,0.0,192.0,192.0,0.0,240.0
3,1.0,2.0,5.0,D2,500.0,575.0,75.0,0.0,150.0
4,5.0,1.0,10.0,G2,0.0,200.0,200.0,0.0,100.0
5,5.0,2.0,10.0,D1,300.0,550.0,250.0,0.0,400.0
6,2.0,1.0,15.0,B1,0.0,375.0,375.0,0.0,150.0
7,6.0,2.0,3.0,A1,250.0,370.0,120.0,76.0,60.0
8,3.0,1.0,12.0,A2,192.0,552.0,360.0,192.0,120.0
9,6.0,3.0,3.0,F1,430.0,505.0,75.0,0.0,0.0
10,2.0,2.0,15.0,D3,525.0,1050.0,525.0,0.0,0.0
11,1.0,3.0,5.0,F1,725.0,875.0,150.0,0.0,0.0
12,5.0,3.0,10.0,E2,950.0,1300.0,350.0,0.0,0.0
13,3.0,2.0,12.0,B1,672.0,1128.0,456.0,0.0,0.0
14,4.0,2.0,6.0,G1,432.0,612.0,180.0,0.0,0.0
